Date,Receipt,Description,Amount
9/7/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99
9/6/2022,,FRONTIER TELEPHONE  8009218101          NY,61.98
9/2/2022,,GEICO  MARINE  INS  877-581-2628        VA,52
9/2/2022,,YOUR CASH BACK THIS PERIOD IS,-14.05
9/1/2022,,AUTOPAY PAYMENT - THANK YOU,-1144.39
9/1/2022,,YELPINC*855 380 9357SAN FRANCISCO       CA,570
8/24/2022,,VOIP.MS/VOIP.MS     TERREBONNE,30
8/17/2022,,PAYPAL *POF.COM     8883454454          CA,38.7
8/10/2022,,YELPINC*855 380 9357855-380-9357        CA,-172.19
8/9/2022,,YELPINC*855 380 9357855-380-9357        CA,172.19
8/7/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99
8/4/2022,,FRONTIER TELEPHONE  8009218101          NY,61.98
8/3/2022,,VOIP.MS/VOIP.MS     TERREBONNE,30
8/2/2022,,GEICO  MARINE  INS  877-581-2628        VA,52
8/2/2022,,YOUR CASH BACK THIS PERIOD IS,-12.63
8/1/2022,,AUTOPAY PAYMENT - THANK YOU,-1007.75
8/1/2022,,GOOGLE *ADS955259303CC@GOOGLE.COM       CA,81.05
8/1/2022,,YELPINC*855 380 9357855-380-9357        CA,570
7/19/2022,,GOOGLE*ADS9552593035CC GOOGLE.COM,350
7/12/2022,,PLUGIN REPUBLIC     BROADSTAIRS         KE,-450
7/10/2022,,GOOGLE *ARMOBSOFT FZ G.CO/HELPPAY#      CA,24.99
7/7/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99
7/5/2022,,FRONTIER TELEPHONE  8009218101          NY,61.98
7/2/2022,,ELM STORAGE LLC     951-677-1234        CA,289.99
7/2/2022,,GEICO  MARINE  INS  877-581-2628        VA,67
7/2/2022,,YOUR CASH BACK THIS PERIOD IS,-7.01
7/1/2022,,AUTOPAY PAYMENT - THANK YOU,-442.74
7/1/2022,,GOOGLE *ADS955259303CC@GOOGLE.COM       CA,65.65
7/1/2022,,YELPINC*855 380 9357855-380-9357        CA,428.16
6/26/2022,,PLUGIN REPUBLIC     BROADSTAIRS         KE,450
6/22/2022,,USS MIDWAY          SAN DIEGO           CA,16
6/17/2022,,CORPORATE FILINGS LLSHERIDAN            WY,49
6/13/2022,,VOIP.MS/VOIP.MS     TERREBONNE,30
6/7/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99
6/6/2022,,FRONTIER TELEPHONE  8009218101          NY,61.98
6/2/2022,,ELM STORAGE LLC     951-677-1234        CA,289.99
6/2/2022,,YOUR CASH BACK THIS PERIOD IS,-9.92
6/1/2022,,AUTOPAY PAYMENT - THANK YOU,-728.79
5/22/2022,,JASPER.AI           AUSTIN              TX,20
5/17/2022,,PAYPAL *POF.COM     8883454454          CA,38.7
5/15/2022,,GOOGLE *STADIA       G.CO/HELPPAY#      CA,9.99
5/12/2022,,SAM'S CLUB 4822 4822MURRIETTA           CA,158.22
5/7/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99
5/5/2022,,FRONTIER TELEPHONE  8009218101          NY,61.98
5/5/2022,,PAYPAL *SHIPSTATION 3104825919          CA,7.89
5/3/2022,,ELM STORAGE LLC     951-677-1234        CA,289.99
5/1/2022,,YOUR CASH BACK THIS PERIOD IS,-14.99
4/30/2022,,AUTOPAY PAYMENT - THANK YOU,-1243.18
4/28/2022,,ZOO PRINTING        EAST PALO ALTO      CA,127.73
4/27/2022,,VOIP.MS/VOIP.MS     TERREBONNE,30
