Date,Receipt,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
09/07/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99,"A0MMY0KW    CABLE & PAY TV
GOOGLE *YOUTUBEPREMIUM
G.CO/HELPPAY#
CA
CABLE & PAY TV",GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320222510235753827',Business Services-Internet Services
09/06/2022,,FRONTIER TELEPHONE  8009218101          NY,61.98,"12803117702 800-921-8101
FRONTIER TELEPHONE
8009218101
NY
Description : CABLE/BROADCAST SVC Price : 0.00
800-921-8101",FRONTIER TELEPHONE  8009218101          NY,3441 WEST HENRIETTA RD,"ROCHESTER
NY",14623,UNITED STATES,'320222490195799832',Communications-Telephone Comm
09/02/2022,,GEICO  MARINE  INS  877-581-2628        VA,52.00,"SWCC7690273 INSURANCE
GEICO  MARINE  INS
877-581-2628
VA
INSURANCE",GEICO  MARINE  INS  877-581-2628        VA,5323 PRT ROYAL RD,"SPRINGFIELD
VA",22151,UNITED STATES,'320222450110071163',Business Services-Insurance Services
09/02/2022,,YOUR CASH BACK THIS PERIOD IS,-14.05,YOUR CASH BACK THIS PERIOD IS,YOUR CASH BACK THIS PERIOD IS,,,,,'320222460136994553',Fees & Adjustments-Fees & Adjustments
09/01/2022,,AUTOPAY PAYMENT - THANK YOU,-1144.39,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320222440065252446',
09/01/2022,,YELPINC*855 380 9357SAN FRANCISCO       CA,570.00,"NT_MLWZCSPG +18553809357
YELPINC*855 380 9357
SAN FRANCISCO
CA
+18553809357",YELPINC*855 380 9357SAN FRANCISCO       CA,"140 NEW MONTGOMERY ST
-","SAN FRANCISCO
CA",94105,UNITED STATES,'320222440071098738',Business Services-Advertising Services
08/24/2022,,VOIP.MS/VOIP.MS     TERREBONNE,30.00,"209279191   8777864767
VOIP.MS/VOIP.MS
TERREBONNE
8777864767",VOIP.MS/VOIP.MS     TERREBONNE,300-3115 DE LA PINIE,"TERREBONNE
QC",J6X 4P7,CANADA,'320222370924526263',Merchandise & Supplies-Wholesale Stores
08/17/2022,,PAYPAL *POF.COM     8883454454          CA,38.70,"10101129473 8883454454
PAYPAL *POF.COM
8883454454
CA
Description : ONLINE DATING Price : 0.00
8883454454",PAYPAL *POF.COM     8883454454          CA,.,"San Jose
CA",95131,UNITED STATES,'320222300778401343',Business Services-Internet Services
08/10/2022,,YELPINC*855 380 9357855-380-9357        CA,-172.19,"70HK77DS    ADVERTISING
YELPINC*855 380 9357
855-380-9357
CA
ADVERTISING",YELPINC*855 380 9357855-380-9357        CA,"140 NEW MONTGOMERY ST
-","SAN FRANCISCO
CA",94105,UNITED STATES,'320222220599242236',Business Services-Advertising Services
08/09/2022,,YELPINC*855 380 9357855-380-9357        CA,172.19,"70HK77DS    ADVERTISING
YELPINC*855 380 9357
855-380-9357
CA
ADVERTISING",YELPINC*855 380 9357855-380-9357        CA,"140 NEW MONTGOMERY ST
-","SAN FRANCISCO
CA",94105,UNITED STATES,'320222210568399967',Business Services-Advertising Services
08/07/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99,"A0MAOSWP    CABLE & PAY TV
GOOGLE *YOUTUBEPREMIUM
G.CO/HELPPAY#
CA
CABLE & PAY TV",GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320222200556768752',Business Services-Internet Services
08/04/2022,,FRONTIER TELEPHONE  8009218101          NY,61.98,"13621618932 800-921-8101
FRONTIER TELEPHONE
8009218101
NY
Description : CABLE/BROADCAST SVC Price : 0.00
800-921-8101",FRONTIER TELEPHONE  8009218101          NY,3441 WEST HENRIETTA RD,"ROCHESTER
NY",14623,UNITED STATES,'320222160474595690',Communications-Telephone Comm
08/03/2022,,VOIP.MS/VOIP.MS     TERREBONNE,30.00,"209279191   8777864767
VOIP.MS/VOIP.MS
TERREBONNE
8777864767",VOIP.MS/VOIP.MS     TERREBONNE,300-3115 DE LA PINIE,"TERREBONNE
QC",J6X 4P7,CANADA,'320222160468679416',Merchandise & Supplies-Wholesale Stores
08/02/2022,,GEICO  MARINE  INS  877-581-2628        VA,52.00,"SWCC7558723 INSURANCE
GEICO  MARINE  INS
877-581-2628
VA
INSURANCE",GEICO  MARINE  INS  877-581-2628        VA,5323 PRT ROYAL RD,"SPRINGFIELD
VA",22151,UNITED STATES,'320222150447586719',Business Services-Insurance Services
08/02/2022,,YOUR CASH BACK THIS PERIOD IS,-12.63,YOUR CASH BACK THIS PERIOD IS,YOUR CASH BACK THIS PERIOD IS,,,,,'320222150451275105',Fees & Adjustments-Fees & Adjustments
08/01/2022,,AUTOPAY PAYMENT - THANK YOU,-1007.75,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320222130386699408',
08/01/2022,,GOOGLE *ADS955259303CC@GOOGLE.COM       CA,81.05,"A0M8UTG9    ADVERTISING SERVICE
GOOGLE *ADS9552593035
CC@GOOGLE.COM
CA
ADVERTISING SERVICE",GOOGLE *ADS955259303CC@GOOGLE.COM       CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320222130406609110',Business Services-Advertising Services
08/01/2022,,YELPINC*855 380 9357855-380-9357        CA,570.00,"K74D6FQ1    ADVERTISING
YELPINC*855 380 9357
855-380-9357
CA
ADVERTISING",YELPINC*855 380 9357855-380-9357        CA,"140 NEW MONTGOMERY ST
-","SAN FRANCISCO
CA",94105,UNITED STATES,'320222130390008712',Business Services-Advertising Services
07/19/2022,,GOOGLE*ADS9552593035CC GOOGLE.COM,350.00,"A1827480298 ADVERTISING SERVICE
GOOGLE*ADS9552593035 GOOGLE INC
CC GOOGLE.COM
ADVERTISING SERVICE",GOOGLE*ADS9552593035CC GOOGLE.COM,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320222010142506589',Business Services-Advertising Services
07/12/2022,,PLUGIN REPUBLIC     BROADSTAIRS         KE,-450.00,"RE_3LF0YKBP +447887743012
PLUGIN REPUBLIC
BROADSTAIRS
KE
+447887743012",PLUGIN REPUBLIC     BROADSTAIRS         KE,102 PIERREMONT AVENUE,"BROADSTAIRS
ENG",CT10,UNITED KINGDOM OF GB AND NI,'320221930952675140',Business Services-Professional Services
07/10/2022,,GOOGLE *ARMOBSOFT FZ G.CO/HELPPAY#      CA,24.99,"A0LZYEUV    COMPUTER STORE
GOOGLE *ARMOBSOFT FZE
G.CO/HELPPAY#
CA
COMPUTER STORE",GOOGLE *ARMOBSOFT FZ G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320221910917690124',Business Services-Internet Services
07/07/2022,,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,11.99,"A0LZ542Y    CABLE & PAY TV
GOOGLE *YOUTUBEPREMIUM
G.CO/HELPPAY#
CA
CABLE & PAY TV",GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,1600 AMPHITHEATRE PKWY,"MOUNTAIN VIEW
CA",94043-1351,UNITED STATES,'320221890879616399',Business Services-Internet Services
07/05/2022,,FRONTIER TELEPHONE  8009218101          NY,61.98,"13525418292 800-921-8101
FRONTIER TELEPHONE
8009218101
NY
Description : CABLE/BROADCAST SVC Price : 0.00
800-921-8101",FRONTIER TELEPHONE  8009218101          NY,3441 WEST HENRIETTA RD,"ROCHESTER
NY",14623,UNITED STATES,'320221860818572367',Communications-Telephone Comm
07/02/2022,,ELM STORAGE LLC     951-677-1234        CA,289.99,"8517530218418026            627082
ELM STORAGE LLC
951-677-1234
CA
18026            627082",ELM STORAGE LLC     951-677-1234        CA,41605 ELM ST,"951-677-1234
CA",92562,UNITED STATES,'320221840780413723',Transportation-Other Transportation
07/02/2022,,GEICO  MARINE  INS  877-581-2628        VA,67.00,"SWCC7419743 INSURANCE
GEICO  MARINE  INS
877-581-2628
VA
INSURANCE",GEICO  MARINE  INS  877-581-2628        VA,5323 PRT ROYAL RD,"SPRINGFIELD
VA",22151,UNITED STATES,'320221840778107693',Business Services-Insurance Services
07/02/2022,,YOUR CASH BACK THIS PERIOD IS,-7.01,YOUR CASH BACK THIS PERIOD IS,YOUR CASH BACK THIS PERIOD IS,,,,,'320221840779383989',Fees & Adjustments-Fees & Adjustments
07/01/2022,,AUTOPAY PAYMENT - THANK YOU,-442.74,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320221820714391697',
